1,8,0.640625,0.640625,0.640625
1,8,0.359375,0.359375,0.359375
1,8,0.21875,0.21875,0.21875
1,8,0.359375,0.359375,0.359375
1,8,0.359375,0.359375,0.359375
1,8,0.359375,0.359375,0.359375
1,8,0.515625,0.359375,0.21875
1,8,0.359375,0.359375,0.359375
1,8,0.21875,0.21875,0.34375
1,8,0.234375,0.234375,0.234375
1,16,0.5078125,0.5859375,0.5
1,16,0.578125,0.5078125,0.515625
1,16,0.609375,0.5234375,0.5234375
1,16,0.59375,0.59375,0.453125
1,16,0.6171875,0.609375,0.53125
1,16,0.4609375,0.4609375,0.4609375
1,16,0.6015625,0.5078125,0.5078125
1,16,0.3984375,0.390625,0.3125
1,16,0.609375,0.609375,0.609375
1,16,0.6015625,0.6015625,0.515625
1,24,0.5364583333333334,0.5729166666666666,0.5729166666666666
1,24,0.640625,0.640625,0.640625
1,24,0.5625,0.515625,0.5052083333333334
1,24,0.5677083333333334,0.6041666666666666,0.6041666666666666
1,24,0.578125,0.578125,0.5729166666666666
1,24,0.6875,0.6875,0.6875
1,24,0.5625,0.546875,0.546875
1,24,0.6302083333333334,0.625,0.625
1,24,0.7395833333333334,0.7395833333333334,0.6458333333333334
1,24,0.5833333333333334,0.5833333333333334,0.5260416666666666
1,32,0.62890625,0.65625,0.58984375
1,32,0.66796875,0.65625,0.69921875
1,32,0.72265625,0.64453125,0.64453125
1,32,0.69140625,0.69140625,0.6953125
1,32,0.68359375,0.6796875,0.6484375
1,32,0.73828125,0.73828125,0.73828125
1,32,0.6171875,0.64453125,0.64453125
1,32,0.68359375,0.64453125,0.64453125
1,32,0.71484375,0.71484375,0.6796875
1,32,0.58984375,0.62109375,0.62109375
2,8,0.7890625,0.748046875,0.76171875
2,8,0.810546875,0.80859375,0.806640625
2,8,0.755859375,0.751953125,0.7265625
2,8,0.791015625,0.76171875,0.77734375
2,8,0.7734375,0.771484375,0.76171875
2,8,0.771484375,0.7421875,0.740234375
2,8,0.80859375,0.787109375,0.77734375
2,8,0.787109375,0.779296875,0.7734375
2,8,0.76953125,0.7578125,0.73828125
2,8,0.76953125,0.74609375,0.7890625
2,16,0.89208984375,0.8974609375,0.8955078125
2,16,0.8974609375,0.8876953125,0.89306640625
2,16,0.8896484375,0.89208984375,0.8916015625
2,16,0.89794921875,0.89404296875,0.89208984375
2,16,0.896484375,0.8994140625,0.8984375
2,16,0.888671875,0.89453125,0.888671875
2,16,0.8935546875,0.89404296875,0.8876953125
2,16,0.87744140625,0.8876953125,0.8828125
2,16,0.8916015625,0.8994140625,0.90234375
2,16,0.876953125,0.8818359375,0.8876953125
2,24,0.9246961805555556,0.9314236111111112,0.931640625
2,24,0.9270833333333334,0.9279513888888888,0.9286024305555556
2,24,0.9290364583333334,0.9288194444444444,0.9329427083333334
2,24,0.9273003472222222,0.9290364583333334,0.9290364583333334
2,24,0.9290364583333334,0.9340277777777778,0.9340277777777778
2,24,0.9327256944444444,0.9303385416666666,0.9338107638888888
2,24,0.9283854166666666,0.9351128472222222,0.9327256944444444
2,24,0.9281684027777778,0.9290364583333334,0.9249131944444444
2,24,0.9281684027777778,0.9314236111111112,0.9346788194444444
2,24,0.9225260416666666,0.927734375,0.9266493055555556
2,32,0.9473876953125,0.9471435546875,0.9444580078125
2,32,0.945068359375,0.9422607421875,0.9422607421875
2,32,0.94580078125,0.9471435546875,0.945556640625
2,32,0.947021484375,0.9481201171875,0.9434814453125
2,32,0.9483642578125,0.947509765625,0.9476318359375
2,32,0.9483642578125,0.9454345703125,0.9442138671875
2,32,0.945068359375,0.9466552734375,0.946533203125
2,32,0.94189453125,0.94482421875,0.94287109375
2,32,0.9451904296875,0.9442138671875,0.9442138671875
2,32,0.9451904296875,0.94775390625,0.946533203125
3,8,0.934814453125,0.92041015625,0.927734375
3,8,0.935546875,0.921630859375,0.922607421875
3,8,0.938720703125,0.923583984375,0.9208984375
3,8,0.934326171875,0.928466796875,0.930419921875
3,8,0.937744140625,0.9287109375,0.927001953125
3,8,0.93603515625,0.92431640625,0.926025390625
3,8,0.93798828125,0.927490234375,0.931640625
3,8,0.938720703125,0.9345703125,0.93798828125
3,8,0.93798828125,0.9267578125,0.925048828125
3,8,0.9404296875,0.927734375,0.92626953125
3,16,0.971954345703125,0.96826171875,0.96337890625
3,16,0.971771240234375,0.967926025390625,0.9635009765625
